iter	RMSE
0	0.5070383045
1	0.4905766669
2	0.4756292988
3	0.460943932
4	0.4472209226
5	0.4344851555
6	0.4227318808
7	0.4115967739
8	0.4013322515
9	0.3914773714
10	0.3823790223
11	0.3735774877
12	0.3652110804
13	0.357118081
14	0.3495150254
15	0.3427039875
16	0.3361019252
17	0.3301880359
18	0.3243932283
19	0.3186748648
20	0.3137632576
21	0.3085444628
22	0.3039879927
23	0.2992608987
24	0.2951348292
25	0.2906244497
26	0.2869446903
27	0.2833453055
28	0.2799871567
29	0.2767873767
30	0.2737925987
31	0.2710996741
32	0.2681671864
33	0.2655747769
34	0.2626392114
35	0.2604985604
36	0.2583283172
37	0.2555978864
38	0.2530415372
39	0.2505065167
40	0.2487342101
41	0.2464838032
42	0.2443705052
43	0.242803307
44	0.2407541723
45	0.2393575273
46	0.2380421517
47	0.2368840857
48	0.2358888913
49	0.2342204121
50	0.23315439
51	0.2317013234
52	0.2306866766
53	0.2297529591
54	0.2287907787
55	0.2279857914
56	0.227106717
57	0.2263699416
58	0.2254739035
59	0.2248059075
60	0.2239764221
61	0.2232508455
62	0.2225532572
63	0.2217327602
64	0.2211300702
65	0.2206412627
66	0.2201076491
67	0.2196566108
68	0.2189374751
69	0.2180180008
70	0.2175336964
71	0.2170540457
72	0.2161602813
73	0.2157513198
74	0.2152769015
75	0.2148565935
76	0.2144566544
77	0.2139721137
78	0.2134706789
79	0.2128222769
80	0.212399927
81	0.2119401755
82	0.2116187147
83	0.2111636211
84	0.2107232103
85	0.2103740647
86	0.2100653004
87	0.2095626881
88	0.209276063
89	0.2089675859
90	0.2082065943
91	0.2078803203
92	0.2072918125
93	0.2069648173
94	0.2067617761
95	0.2064644602
96	0.2062452107
97	0.2057294511
98	0.2053814777
99	0.2051753196
100	0.2049813035
101	0.2047615777
102	0.2045692175
103	0.2042818647
104	0.20390199
105	0.2034907676
106	0.2031751934
107	0.2029210186
108	0.2027134766
109	0.2025705933
110	0.2023427815
111	0.2019313387
112	0.201714142
113	0.2014623233
114	0.2011908106
115	0.2010877036
116	0.2008027042
117	0.2004658968
118	0.2002847735
119	0.200149978
120	0.1997872254
121	0.1995757397
122	0.1993578281
123	0.1992111122
124	0.1990410223
125	0.1988494325
126	0.198662204
127	0.198480834
128	0.1982998833
129	0.1978554779
130	0.1976507246
131	0.1975388687
132	0.1971735453
133	0.1970870042
134	0.1969700982
135	0.1968895845
136	0.1967736629
137	0.1965685639
138	0.1964676033
139	0.1963233184
140	0.1962256987
141	0.195806353
142	0.1954983333
143	0.1953909145
144	0.1953189846
145	0.1951968815
146	0.1950744789
147	0.1948346472
148	0.1946817559
149	0.1944359536
150	0.1943125468
151	0.1941336151
152	0.1939820862
153	0.1936827674
154	0.193511209
155	0.1932828182
156	0.1931044961
157	0.1930126159
158	0.1929171014
159	0.1928359244
160	0.1926934186
161	0.1925221463
162	0.1923862166
163	0.1922757235
164	0.1922050476
165	0.1920786614
166	0.1919620674
167	0.1918136739
168	0.1916846766
169	0.1915016152
170	0.1912944367
171	0.1911613911
172	0.1909552316
173	0.1906328721
174	0.1905280936
175	0.190344996
176	0.1901972563
177	0.1900452614
178	0.1899584497
179	0.1898844437
180	0.1897405011
181	0.1895230165
182	0.1893961519
183	0.1892669168
184	0.1891443654
185	0.1890387595
186	0.1889813935
187	0.1888452817
188	0.1887026163
189	0.1885109437
190	0.1884310751
191	0.1882366339
192	0.1881110746
193	0.1879966062
194	0.1878631133
195	0.1878123017
196	0.1877039338
197	0.1875499416
198	0.1874751348
199	0.1873853401
200	0.1872397248
201	0.1871223623
202	0.1870453758
203	0.1869367728
204	0.1867423295
205	0.186678902
