iter	Passed	Remaining
0	7	3827
1	13	3326
2	18	3146
3	25	3110
4	30	2978
5	34	2850
6	41	2908
7	47	2927
8	57	3123
9	63	3111
10	71	3159
11	81	3306
12	90	3406
13	97	3378
14	105	3419
15	111	3387
16	118	3352
17	124	3327
18	129	3275
19	136	3280
20	142	3261
21	149	3250
22	157	3266
23	163	3235
24	169	3212
25	176	3218
26	183	3208
27	189	3201
28	196	3195
29	203	3190
30	210	3185
31	218	3196
32	225	3193
33	232	3191
34	239	3184
35	246	3180
36	256	3211
37	264	3209
38	271	3213
39	281	3239
40	290	3248
41	296	3236
42	303	3225
43	309	3209
44	317	3206
45	323	3189
46	334	3225
47	341	3213
48	350	3222
49	357	3216
50	367	3231
51	374	3222
52	380	3211
53	386	3195
54	392	3179
55	401	3180
56	407	3167
57	414	3157
58	420	3145
59	428	3139
60	434	3125
61	440	3111
62	450	3127
63	457	3114
64	463	3104
65	469	3088
66	475	3074
67	484	3076
68	491	3069
69	498	3062
70	504	3048
71	516	3071
72	524	3069
73	530	3056
74	539	3055
75	545	3043
76	552	3033
77	562	3044
78	568	3029
79	580	3047
80	587	3037
81	593	3027
82	600	3015
83	607	3008
84	613	2996
85	618	2979
86	624	2965
87	630	2951
88	638	2948
89	644	2938
90	653	2936
91	659	2926
92	667	2919
93	673	2909
94	680	2902
95	687	2894
96	693	2880
97	701	2878
98	709	2872
99	716	2867
100	726	2869
101	733	2861
102	740	2854
103	750	2858
104	756	2846
105	761	2830
106	768	2821
107	772	2805
108	778	2793
109	785	2785
110	791	2774
111	799	2768
112	805	2758
113	813	2753
114	823	2755
115	831	2753
116	838	2744
117	847	2742
118	853	2732
119	859	2722
120	867	2718
121	877	2720
122	884	2711
123	893	2710
124	902	2708
125	909	2698
126	918	2697
127	923	2685
128	931	2678
129	938	2670
130	950	2678
131	956	2666
132	965	2663
133	972	2656
134	982	2657
135	997	2670
136	1007	2670
137	1018	2671
138	1028	2671
139	1124	2891
140	1139	2901
141	1165	2937
142	1185	2958
143	1205	2979
144	1214	2973
145	1229	2981
146	1259	3023
147	1265	3009
148	1273	3000
149	1281	2989
150	1290	2983
151	1301	2979
152	1309	2969
153	1316	2957
154	1327	2955
155	1334	2943
156	1341	2930
157	1346	2915
158	1352	2900
159	1358	2886
160	1364	2873
161	1375	2870
162	1381	2856
163	1389	2847
164	1396	2835
165	1403	2824
166	1411	2814
167	1419	2805
168	1428	2796
169	1437	2791
170	1445	2780
171	1455	2775
172	1463	2765
173	1474	2762
174	1483	2755
175	1492	2747
176	1505	2747
177	1516	2742
178	1524	2733
179	1533	2726
180	1546	2725
181	1556	2719
182	1566	2714
183	1576	2708
184	1589	2706
185	1598	2698
186	1608	2692
187	1622	2692
188	1632	2686
189	1641	2679
190	1651	2671
191	1660	2664
192	1669	2655
193	1677	2646
194	1686	2637
195	1696	2630
196	1702	2619
197	1711	2610
198	1721	2603
199	1731	2597
200	1738	2585
201	1745	2575
202	1751	2562
203	1759	2553
204	1768	2544
205	1779	2540
206	1790	2534
207	1799	2525
208	1814	2526
209	1823	2518
210	1831	2508
211	1837	2496
212	1845	2486
213	1852	2476
214	1860	2465
215	1865	2452
216	1874	2444
217	1882	2435
218	1891	2426
219	1897	2414
220	1908	2409
221	1914	2397
222	1923	2389
223	1929	2377
224	1937	2367
225	1943	2356
226	1953	2349
227	1960	2338
228	1965	2326
229	1974	2317
230	1983	2309
231	1990	2298
232	1996	2287
233	2002	2276
234	2010	2266
235	2018	2258
236	2025	2247
237	2037	2243
238	2045	2233
239	2054	2225
240	2061	2215
241	2071	2208
242	2079	2199
243	2093	2195
244	2106	2192
245	2118	2187
246	2131	2183
247	2141	2176
248	2153	2171
249	2166	2166
250	2177	2159
251	2195	2160
252	2208	2156
253	2223	2153
254	2234	2146
255	2241	2136
256	2250	2127
257	2261	2121
258	2273	2115
259	2286	2110
260	2295	2102
261	2306	2095
262	2316	2087
263	2325	2078
264	2333	2069
265	2341	2059
266	2350	2051
267	2362	2044
268	2371	2036
269	2380	2027
270	2392	2022
271	2401	2012
272	2410	2004
273	2419	1995
274	2428	1987
275	2440	1980
276	2469	1987
277	2479	1979
278	2490	1972
279	2500	1964
280	2509	1955
281	2516	1945
282	2527	1937
283	2534	1927
284	2541	1917
285	2548	1906
286	2556	1897
287	2563	1886
288	2569	1876
289	2576	1866
290	2583	1855
291	2591	1845
292	2597	1835
293	2606	1826
294	2612	1815
295	2622	1807
296	2628	1796
297	2638	1788
298	2647	1779
299	2657	1771
300	2666	1762
301	2674	1753
302	2686	1746
303	2695	1738
304	2706	1730
305	2717	1722
306	2727	1714
307	2734	1704
308	2741	1694
309	2748	1684
310	2756	1675
311	2763	1665
312	2770	1655
313	2776	1644
314	2783	1634
315	2790	1624
316	2797	1615
317	2803	1604
318	2809	1593
319	2816	1584
320	2822	1574
321	2831	1565
322	2838	1555
323	2844	1545
324	2851	1535
325	2858	1525
326	2869	1518
327	2878	1509
328	2885	1499
329	2892	1490
330	2899	1480
331	2908	1471
332	2921	1464
333	2933	1458
334	2940	1448
335	2948	1439
336	2955	1429
337	2967	1422
338	2979	1414
339	2992	1408
340	3004	1400
341	3014	1392
342	3024	1384
343	3031	1374
344	3042	1366
345	3049	1357
346	3058	1348
347	3065	1338
348	3076	1331
349	3084	1321
350	3094	1313
351	3101	1303
352	3108	1294
353	3114	1284
354	3122	1275
355	3129	1265
356	3155	1264
357	3162	1254
358	3169	1244
359	3175	1235
360	3182	1225
361	3189	1216
362	3197	1206
363	3206	1197
364	3212	1188
365	3220	1179
366	3228	1169
367	3236	1160
368	3242	1151
369	3250	1141
370	3256	1132
371	3262	1122
372	3271	1113
373	3281	1105
374	3289	1096
375	3298	1087
376	3306	1078
377	3312	1069
378	3320	1060
379	3326	1050
380	3338	1042
381	3351	1035
382	3357	1025
383	3366	1016
384	3373	1007
385	3381	998
386	3387	989
387	3397	980
388	3406	972
389	3419	964
390	3428	955
391	3437	947
392	3446	938
393	3454	929
394	3467	921
395	3474	912
396	3484	904
397	3492	894
398	3498	885
399	3507	876
400	3514	867
401	3522	858
402	3530	849
403	3541	841
404	3548	832
405	3558	823
406	3574	816
407	3593	810
408	3600	801
409	3609	792
410	3616	783
411	3625	774
412	3631	765
413	3638	755
414	3646	746
415	3655	738
416	3664	729
417	3675	721
418	3682	711
419	3691	703
420	3698	693
421	3706	685
422	3714	676
423	3723	667
424	3729	658
425	3738	649
426	3745	640
427	3755	631
428	3761	622
429	3769	613
430	3778	604
431	3787	596
432	3793	586
433	3801	578
434	3809	569
435	3818	560
436	3826	551
437	3834	542
438	3841	533
439	3849	524
440	3856	515
441	3864	507
442	3870	498
443	3878	489
444	3885	480
445	3893	471
446	3899	462
447	3906	453
448	3914	444
449	3923	435
450	3933	427
451	3939	418
452	3951	409
453	3968	402
454	3980	393
455	3993	385
456	4008	377
457	4020	368
458	4035	360
459	4045	351
460	4051	342
461	4061	334
462	4066	325
463	4076	316
464	4087	307
465	4099	299
466	4110	290
467	4120	281
468	4132	273
469	4146	264
470	4156	255
471	4166	247
472	4180	238
473	4190	229
474	4200	221
475	4214	212
476	4224	203
477	4231	194
478	4245	186
479	4255	177
480	4266	168
481	4276	159
482	4286	150
483	4295	141
484	4305	133
485	4318	124
486	4328	115
487	4341	106
488	4351	97
489	4361	89
490	4378	80
491	4391	71
492	4403	62
493	4414	53
494	4429	44
495	4439	35
496	4450	26
497	4460	17
498	4470	8
499	4477	0
