bathrooms,waterfront,grade,house_age,log_price,log_sqft_lot
1.0,0,7,60,12.309982108920686,8.639410824140487
2.25,0,7,64,13.195613839143922,8.887652690325586
1.0,0,6,82,12.100712129872347,9.210340371976184
3.0,0,7,50,13.311329476916953,8.517193191416238
2.0,0,8,28,13.142166004700508,8.997147151515142
4.5,0,11,14,14.018451401960965,11.532041582162458
2.25,0,7,20,12.458774999085929,8.827468112520654
1.5,0,7,52,12.583995250631936,9.181014542594355
1.0,0,7,55,12.343658308482738,8.918650278126863
2.5,0,7,12,12.685407602204794,8.788745881938135
2.5,0,8,50,13.403775836842515,9.189729418072059
1.0,0,7,73,13.056223574899784,8.699514748210191
1.0,0,7,88,12.644327576461329,9.898525260706313
1.75,0,7,38,12.89921982609012,9.177817180270623
2.0,0,7,115,13.180632285528304,8.48673398393153
3.0,0,9,36,13.38472764187182,8.517193191416238
2.0,0,7,21,12.886641043883259,9.549665677579801
1.0,0,7,99,13.091904169919621,8.366370301681654
1.0,0,7,94,12.14950229404178,9.195226734166134
1.0,0,7,46,12.345834587905333,9.1874810778301
1.75,0,7,68,12.86099861326992,8.513185170018698
2.75,0,9,47,14.508657738524219,10.711457836917562
2.5,0,8,20,12.560244459250788,8.748304912379623
1.5,0,7,30,12.439958293376286,9.173987542510384
2.25,0,8,30,12.70381302974751,8.779557455883728
2.0,0,6,74,12.358793732547838,8.454679286026995
1.75,0,8,100,13.750438561220559,7.897668150726906
1.0,0,8,106,13.410545324897761,7.365812837209472
1.75,0,7,67,12.989974189358584,8.760923376338836
2.5,0,8,10,13.485616636703183,8.878079256126435
2.5,0,8,12,13.271645080120082,8.289037098278483
1.5,0,7,10,12.542544882151386,7.142827401161621
1.75,0,7,86,13.440817108522863,8.517193191416238
1.0,0,8,86,13.190022025878143,8.006367567650246
2.75,0,7,34,12.683858415217964,8.803724602110622
2.5,0,8,85,13.453104939316557,8.026170194946426
1.0,0,5,82,13.217673557208654,10.458751025732687
2.0,0,8,111,13.369223455335854,8.699514748210191
1.0,0,7,46,12.388394202324129,8.996528148090857
2.5,0,8,19,13.312983737012978,8.929700114313448
2.5,0,9,15,13.345506928718539,8.616133139271142
2.25,0,8,31,13.560618308335483,10.09352923234522
2.75,0,9,1,13.666998948650464,8.637462023807181
1.0,0,7,93,13.437174117244362,7.731930721948486
1.0,0,6,56,12.641096555879882,9.175334762777368
2.5,0,8,12,13.098070684835283,9.51804563563343
1.0,0,6,49,12.257193425037888,9.051110146405625
2.5,0,9,34,13.573438996764546,9.504203303503045
1.75,0,7,62,13.017002861746503,8.693328989123106
2.5,1,9,62,14.115615150414612,11.08221946899627
1.0,0,7,60,12.337100907936577,9.126850061477157
2.5,0,8,49,12.751299696013497,9.119758993744945
1.75,0,7,65,13.304684934198283,8.313852267398207
1.75,0,7,34,13.279367126213993,9.053686561930807
2.25,0,8,88,13.732128949025222,8.699514748210191
2.5,0,9,20,13.693342923990066,8.517193191416238
2.5,0,7,7,12.58621994565405,8.410720946905721
2.5,0,8,12,12.614865543731012,8.465899897028686
3.25,0,8,47,13.765269341527528,9.57094757444252
3.0,0,8,24,12.971540487669746,9.207937487359873
2.25,0,8,56,13.38472764187182,9.963406042747371
1.75,0,7,61,12.57418196709457,9.035986984831405
